Cluster,Category,Term,Count,Genes,,PValue,Benjamini,,,,,,,
1,CC,GO:0016604~nuclear body,8,"P02545, Q96JC9, O75113, O00571, Q13501, Q8IYM9, P41218, P29590","LMNA, EAF1, N4BP1, DDX3X, SQSTM1, TRIM22, MNDA, PML",2E-05,0.00256911969362705,,,,,,,
2,CC ,GO:0005737~cytoplasm,95,"P00973, P07355, P19474, P08567, Q8IV20, P01892, Q9H0P0, Q14142, P04222, Q13287, P61769, Q8IXQ6, Q5TEJ8, Q8IVG5, Q03169, O15553, Q96PP9, Q9Y3I0, Q5EBM0, Q16666, Q9BQE5, Q9BYX4, P50281, O14657, Q9NSI8, Q9NUQ6, Q53G44, Q9Y6N5, P13995, P83111, P48163, Q9UII4, P20592, Q9Y305, P04839, P49662, Q8N1G2, P52630, Q9NUL5, O95786, P04179, P02792, Q9P2R3, P98082, P54920, Q9Y6K5, Q96RQ9, P41226, Q9UNH7, P09914, Q03519, P07711, Q03518, Q9HCE1, P14598, P29728, P33121, P53004, Q9H223, P43490, Q8TCS8, P20591, P80217, Q9NRD1, O95544, Q5K651, P29966, P08631, P19971, Q96AZ6, P23497, Q6ZUJ8, Q14258, P05161, P25942, O00182, O14879, P19525, Q9NZM1, O15533, Q53GL7, P32456, P09543, P32455, Q15646, Q16719, P16671, P07339, P18510, Q14764, O00178, P28838, P40763, P07602, P23381", ,1.79E-14,5.47E-12,,,,,,,
3,CC,GO:0043230~extracellular organelle,41,"Q02818, Q06210, P12931, P51153, P14780, P17931, Q6GTX8, P49006, Q13451, Q15181, P16152, Q9UJ70, P08758, P15559, P08962, P28065, P30740, P02786, P08575, P00390, P08571, Q9Y263, O60749, Q9NQE9, P12109, Q96KP4, Q14699, P52209, Q86Y82, P30466, P14384, P55957, Q08380, Q99571, P16070, P15144, O60488, Q08722, Q14108, O60784, P01584", ,8.02E-13,8.96E-11,,,,,,,
4,CC,GO:0009986~cell surface,6,"P04083, O95477, Q9NPY3, P26010, O43914, Q10589","ANXA1, ABCA1, CD93, ITGB7, TYROBP, BST2",8.03E-05,0.0118954562578137,,,,,,,
5,CC,GO:0044428~nuclear part,24,"Q9NVH2, Q5QJE6, Q92797, Q3ZCQ8, Q29RF7, Q6ZMZ3, P09601, O60264, Q14643, P52948, Q93074, Q9NRL2, Q4LE39, Q9ULC5, Q92621, P49792, A8CG34, P49790, Q8NI27, Q8N1F7, Q9BQG0, Q5JTH9, P78347, Q8N201",,1.66E-11,3.55E-09,29,3917,18025,3.808333259972,3.55E-09,2.1E-08,82.7586206896551
6,CC,GO:0005829~cytosol,40,"Q92608, P17812, P60228, P46940, Q8NF50, Q14974, P55160, P54136, Q06187, P53621, O95373, Q9Y678, O94973, O94855, Q13616, Q13617, Q00610, Q9HAV4, Q13568, Q8TEQ6, O43747, Q92973, Q9UI12, Q05655, Q7Z6Z7, Q93008, Q9Y262, Q12768, O75044, Q13459, Q14204, P15498, O14980, Q15008, Q14C86, Q99613, O95466, P78344, P20073, P53618",,3.17E-16,9.26E-14,58,3390,18025,3.6669718238226,9.26E-14,4.44E-13,68.9655172413793
9,CC,GO:0005694~chromosome,18,"Q96T88, Q9NQS7, P11388, Q12912, Q9BXS6, O75475, O96028, O60341, P49454, Q99661, P14635, P0C0S5, P45973, P16401, Q14683, P46013, P40937, Q13112",,5.12E-12,1.12E-09,43,901,18025,8.37441602353973,1.12E-09,6.51E-09,40.9090909090909
10,CC,GO:0005819~spindle,7,"Q8WWK9, P53350, O43663, Q12834, Q96R06, O60566, Q02241",,1.73E-09,1.64E-07,10,303,18025,41.6419141914191,1.64E-07,1.9E-06,70
11,CC,GO:0005739~mitochondrion,21,"P56181, P42765, P53597, P42126, P56385, P09622, P04181, P13073, P30042, P11310, P54819, P10809, Q9Y3B7, P55809, Q9NX40, P13804, P51572, P07954, P50440, Q9BX68, O75251",,4.74E-13,1.15E-10,34,1699,18025,6.55272997957275,1.15E-10,6.13E-10,61.7647058823529
13,CC,GO:0044446~intracellular organelle part,37,"Q9NWH9, O14949, Q9BPW8, Q13573, Q9UJZ1, O95571, Q8N163, Q9BWM7, P0C0S8, Q9BY77, P10412, Q15233, P45954, Q6UN15, Q99459, Q9H307, P32322, P49711, O75934, Q9P0M9, Q9Y4W6, P52272, Q92785, Q8TAQ2, Q12824, P18754, Q9UH99, P20674, Q9NX63, O95983, P02649, P38117, Q9UKV3, Q9UKM9, O75947, Q9NZ45, P38159",,3.86E-13,9.62E-11,37,8158,18025,2.20948761951458,9.62E-11,5.02E-10,100
