"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"IFIT3",3.52809072613391,4.18438359981647,25.1599712296671,2.06493610177197e-08,5.95431768391014e-05,9.84607503856397,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT3"
"IFIT2",3.56778727599867,3.50069046347438,23.8231429816447,3.07344147472609e-08,5.95431768391014e-05,9.53770146051388,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT2"
"MX2",2.81982215961503,4.49371235066971,22.8509156829575,4.16191823199684e-08,5.95431768391014e-05,9.29570261023151,"Upregulated (FDR < 0.01, log2FC > 0.6)","MX2"
"ICAM1",2.76473726479804,3.61330290764929,21.7306008654999,5.99745965048797e-08,6.43527420497359e-05,8.99643371994322,"Upregulated (FDR < 0.01, log2FC > 0.6)","ICAM1"
"EPSTI1",3.70510683071176,3.86257946576462,18.6640694794224,1.80594267756325e-07,0.000141653440246503,8.04663112801662,"Upregulated (FDR < 0.01, log2FC > 0.6)","EPSTI1"
"IFIH1",2.91795581478649,4.13342017803785,18.2616800813815,2.11394158904956e-07,0.000141653440246503,7.90563439959183,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIH1"
"IFI16",1.98698987648199,4.62243310532556,17.758459416643,2.5863493398742e-07,0.000141653440246503,7.72324701186067,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFI16"
"CXCL10",2.1214428232632,4.53890684542884,17.7076843621411,2.64032507449214e-07,0.000141653440246503,7.70445792452716,"Upregulated (FDR < 0.01, log2FC > 0.6)","CXCL10"
"IL1B",2.63407236536649,4.01180342548212,17.2842985109729,3.14361849724332e-07,0.000149915673224093,7.54493685640232,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL1B"
"GBP3",2.209605840735,4.06407353903622,16.694972704548,4.03562763255906e-07,0.000173209137989435,7.31410604054091,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP3"
"CMPK2",1.97040441451872,3.69649233210707,16.0337835565872,5.39581519252826e-07,0.000210534898239375,7.04221388732241,"Upregulated (FDR < 0.01, log2FC > 0.6)","CMPK2"
"IFIT1",2.27475466140315,4.52228434001505,15.4229039462502,7.12981461995154e-07,0.000251861372228265,6.77803208759078,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT1"
"ISG20",1.9706087513288,3.83425379531613,15.2780286983823,7.62860633496609e-07,0.000251861372228265,6.71345318559006,"Upregulated (FDR < 0.01, log2FC > 0.6)","ISG20"
"MMP9",1.98376765161679,3.28075039548051,14.6496731927542,1.03023953342843e-06,0.000313488489760804,6.42435640516597,"Upregulated (FDR < 0.01, log2FC > 0.6)","MMP9"
"MX1",3.23883943021069,3.99189022891494,14.5240735294708,1.09560283001213e-06,0.000313488489760804,6.36475347660585,"Upregulated (FDR < 0.01, log2FC > 0.6)","MX1"
"ISG15",1.92043030647725,4.89407907134793,14.3293620255937,1.20642502837829e-06,0.000322262288764033,6.27111268357426,"Upregulated (FDR < 0.01, log2FC > 0.6)","ISG15"
"OAS3",1.72505888341097,4.55458447867567,14.216512914092,1.27643497413526e-06,0.000322262288764033,6.21613868828977,"Upregulated (FDR < 0.01, log2FC > 0.6)","OAS3"
"GBP2",1.90649141476075,4.2636562374752,14.0094751805355,1.41717045632661e-06,0.000337916422141879,6.1139128988225,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP2"
"HELZ2",1.93043109415445,4.00665149230149,13.7949716290389,1.58179686333692e-06,0.00035731958618116,6.00609240972734,"Upregulated (FDR < 0.01, log2FC > 0.6)","HELZ2"
"SP140L",1.59922212858008,3.2658445583287,13.6223493800394,1.7300807059988e-06,0.000371275319507342,5.91787894266594,"Upregulated (FDR < 0.01, log2FC > 0.6)","SP140L"
"DDX60",1.72201306357929,4.49751216238542,12.8569998936941,2.60810280591268e-06,0.000517766227943609,5.51049323253589,"Upregulated (FDR < 0.01, log2FC > 0.6)","DDX60"
"MARCKS",1.74886497736895,3.52624972758442,12.8253895760982,2.65397414136985e-06,0.000517766227943609,5.49307271723409,"Upregulated (FDR < 0.01, log2FC > 0.6)","MARCKS"
"IFIT5",1.59973332582313,4.04911815734961,12.3502705777067,3.46600996120835e-06,0.000646787597978531,5.22523452580819,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT5"
"RSAD2",3.29122557628859,3.54369829812118,12.2520911351536,3.6668810950852e-06,0.000655760569171069,5.16844817595513,"Upregulated (FDR < 0.01, log2FC > 0.6)","RSAD2"
"DTX3L",1.56180221329663,4.88791173609113,11.9590819154541,4.34910088819313e-06,0.000746653640484997,4.99592824593875,"Upregulated (FDR < 0.01, log2FC > 0.6)","DTX3L"
"IL1RN",1.41012221550015,5.27548835564525,11.8694095957212,4.58574052468315e-06,0.000751234816714791,4.94219898012308,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL1RN"
"IL4I1",2.62392596994678,4.05124950910004,11.8187468060548,4.7258481014211e-06,0.000751234816714791,4.91164644639199,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL4I1"
"TAP1",1.39290641930798,4.24460110032764,11.6784721132864,5.13968612221614e-06,0.000787840458448274,4.82630226370299,"Upregulated (FDR < 0.01, log2FC > 0.6)","TAP1"
"PDCD4",-1.66263908279299,4.22925001772502,-11.5601338079425,5.52081386201281e-06,0.000817080451577896,4.75343457904395,"Downregulated (FDR < 0.01, log2FC < -0.6)","PDCD4"
"MT2A",4.31009641981079,3.97141342808635,11.2347842557375,6.74410010945363e-06,0.000964855922325833,4.5488843896231,"Upregulated (FDR < 0.01, log2FC > 0.6)","MT2A"
"PARP14",1.63404957611483,4.58324200433892,11.1385932225349,7.16239150949349e-06,0.000991644656733743,4.48719473294867,"Upregulated (FDR < 0.01, log2FC > 0.6)","PARP14"
"PML",1.29453860570063,3.72360354020663,10.8885831214921,8.39353036814139e-06,0.00112578226062696,4.32418454123675,"Upregulated (FDR < 0.01, log2FC > 0.6)","PML"
"CLEC11A",-1.35350326968052,4.52375615673336,-10.7991724103937,8.8904800348254e-06,0.00115630122149911,4.26493095959949,"Downregulated (FDR < 0.01, log2FC < -0.6)","CLEC11A"
"SP110",2.03858141428229,4.70027295349299,10.4618674400223,1.10881305981407e-05,0.00135623119472337,4.03670964982732,"Upregulated (FDR < 0.01, log2FC > 0.6)","SP110"
"NADK",1.26907778181394,3.96945162257972,10.4583541090594,1.11140402619099e-05,0.00135623119472337,4.03429273294743,"Upregulated (FDR < 0.01, log2FC > 0.6)","NADK"
"GFI1",-1.2764054976249,4.09562524975647,-10.4233881679826,1.13756577376611e-05,0.00135623119472337,4.0101931767058,"Downregulated (FDR < 0.01, log2FC < -0.6)","GFI1"
"HMOX1",3.00347238647662,4.33717058775475,10.3674158657952,1.18090320091155e-05,0.0013698477130574,3.97144240041338,"Upregulated (FDR < 0.01, log2FC > 0.6)","HMOX1"
"IRF7",2.19582322225033,3.94161973598048,9.8802480499976,1.64781506005894e-05,0.00186116374678236,3.62491247321418,"Upregulated (FDR < 0.01, log2FC > 0.6)","IRF7"
"IRF8",-1.14851407523604,4.07090197913967,-9.72555148191315,1.83724072553889e-05,0.00202190697282383,3.51128004497922,"Downregulated (FDR < 0.01, log2FC < -0.6)","IRF8"
"OAS2",1.66931329616306,4.37505604388455,9.48182924235702,2.18758500372556e-05,0.00234727870899753,3.32858027006244,"Upregulated (FDR < 0.01, log2FC > 0.6)","OAS2"
"SAMD9L",1.43520145078271,4.43323107581863,9.24238172431203,2.60672162770653e-05,0.00266961291186207,3.14456450739006,"Upregulated (FDR < 0.01, log2FC > 0.6)","SAMD9L"
"PARP9",1.41313570566645,4.64189596025372,9.23944804138708,2.61238914953884e-05,0.00266961291186207,3.14228149070182,"Upregulated (FDR < 0.01, log2FC > 0.6)","PARP9"
"SRC",0.989788084872339,4.90934933791872,8.89067443498462,3.39658747241462e-05,0.00337100720635357,2.86579875619826,"Upregulated (FDR < 0.01, log2FC > 0.6)","SRC"
"RET",-1.08669321068867,3.60054596887563,-8.86809902361174,3.45583217799528e-05,0.00337100720635357,2.84754973024168,"Downregulated (FDR < 0.01, log2FC < -0.6)","RET"
"TNFAIP2",1.30168309338207,4.45862767569878,8.76457871669669,3.74281255496673e-05,0.00356981144131493,2.76330513333537,"Upregulated (FDR < 0.01, log2FC > 0.6)","TNFAIP2"
"NCF1C",1.49701553000745,4.84349004187211,8.72998062381232,3.8446274948093e-05,0.00358720461037424,2.73494141796208,"Upregulated (FDR < 0.01, log2FC > 0.6)","NCF1C"
"OPTN",1.08354176562151,5.02362759903697,8.67286233950485,4.01960242691909e-05,0.0036115378546869,2.68788531401099,"Upregulated (FDR < 0.01, log2FC > 0.6)","OPTN"
"GBP4",2.68246998192303,4.78237578473795,8.65301740867335,4.08247677717475e-05,0.0036115378546869,2.67146883533211,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP4"
"VLDLR",-1.16780081927985,3.79749845494673,-8.64036368768675,4.12314433549996e-05,0.0036115378546869,2.66098293613257,"Downregulated (FDR < 0.01, log2FC < -0.6)","VLDLR"
"ACSL1",2.21427558871048,4.4367930200816,8.46511905760276,4.7358451779674e-05,0.00406524950076722,2.51428272843037,"Upregulated (FDR < 0.01, log2FC > 0.6)","ACSL1"
"DDX58",2.33321698993866,4.46151736662422,8.36029991421186,5.1509288978109e-05,0.00431971194809628,2.42519851845666,"Upregulated (FDR < 0.01, log2FC > 0.6)","DDX58"
"SQSTM1",1.84906641725085,3.82033966956007,8.34056354350488,5.2335745876283e-05,0.00431971194809628,2.40831102420599,"Upregulated (FDR < 0.01, log2FC > 0.6)","SQSTM1"
