Accession,Organelle
Q9Y3A5,40S/60S Ribosome
P62861,40S/60S Ribosome
P22090,40S/60S Ribosome
P05387,40S/60S Ribosome
P62857,40S/60S Ribosome
P83881,40S/60S Ribosome
P08708,40S/60S Ribosome
P40429,40S/60S Ribosome
P08865,40S/60S Ribosome
P30050,40S/60S Ribosome
P42766,40S/60S Ribosome
P62854,40S/60S Ribosome
P62917,40S/60S Ribosome
P62269,40S/60S Ribosome
P05388,40S/60S Ribosome
P62277,40S/60S Ribosome
P42677,40S/60S Ribosome
P47914,40S/60S Ribosome
P62913,40S/60S Ribosome
P63220,40S/60S Ribosome
P62263,40S/60S Ribosome
P62244,40S/60S Ribosome
P61927,40S/60S Ribosome
P25398,40S/60S Ribosome
P62273,40S/60S Ribosome
P15880,40S/60S Ribosome
P18077,40S/60S Ribosome
P18124,40S/60S Ribosome
P18621-3,40S/60S Ribosome
P23396,40S/60S Ribosome
P26373,40S/60S Ribosome
P27635,40S/60S Ribosome
P32969,40S/60S Ribosome
P35268,40S/60S Ribosome
P36578,40S/60S Ribosome
P39019,40S/60S Ribosome
P39023,40S/60S Ribosome
P46776,40S/60S Ribosome
P46777,40S/60S Ribosome
P46778,40S/60S Ribosome
P46779,40S/60S Ribosome
P46781,40S/60S Ribosome
P46782,40S/60S Ribosome
P46783,40S/60S Ribosome
P49207,40S/60S Ribosome
P50914,40S/60S Ribosome
P60866-2,40S/60S Ribosome
P61247,40S/60S Ribosome
P61313,40S/60S Ribosome
P61353,40S/60S Ribosome
P61513,40S/60S Ribosome
P62081,40S/60S Ribosome
P62241,40S/60S Ribosome
P62249,40S/60S Ribosome
P62266,40S/60S Ribosome
P62280,40S/60S Ribosome
P62424,40S/60S Ribosome
P62701,40S/60S Ribosome
P62750,40S/60S Ribosome
P62753,40S/60S Ribosome
P62829,40S/60S Ribosome
P62841,40S/60S Ribosome
P62851,40S/60S Ribosome
P62888,40S/60S Ribosome
P62899,40S/60S Ribosome
P62906,40S/60S Ribosome
P62910,40S/60S Ribosome
P62979,40S/60S Ribosome
P63173,40S/60S Ribosome
P83731,40S/60S Ribosome
P84098,40S/60S Ribosome
Q02543,40S/60S Ribosome
Q02878,40S/60S Ribosome
Q07020,40S/60S Ribosome
Q9Y3U8,40S/60S Ribosome
A6NHR9,Chromatin
O60216,Chromatin
O60264,Chromatin
O60885,Chromatin
O75367,Chromatin
O75475,Chromatin
O95347,Chromatin
P07305,Chromatin
P0C0S5,Chromatin
P10412,Chromatin
P16104,Chromatin
P16401,Chromatin
P16402,Chromatin
P16403,Chromatin
P35659,Chromatin
P42166,Chromatin
P45973,Chromatin
P52701,Chromatin
P62805,Chromatin
Q14683,Chromatin
Q15059,Chromatin
Q29RF7,Chromatin
Q5SSJ5,Chromatin
Q92522,Chromatin
Q92922,Chromatin
Q92925,Chromatin
Q969G3,Chromatin
Q96JM3,Chromatin
Q9NRL2,Chromatin
Q9NTI5,Chromatin
Q9UIG0,Chromatin
Q9UQE7,Chromatin
P18754-2,Chromatin
O95239,Chromatin
Q96PU4,Chromatin
P05204,Chromatin
Q9NTJ3,Chromatin
Q9UK61,Chromatin
O14497,Chromatin
O15347,Chromatin
Q9UIS9-9,Chromatin
Q15021,Chromatin
P05114,Chromatin
P49711,Chromatin
Q01826-2,Chromatin
Q14839-2,Chromatin
Q15554,Chromatin
Q5UIP0,Chromatin
Q7Z3K3,Chromatin
Q86U86,Chromatin
Q8WXI9,Chromatin
Q9NQS7,Chromatin
Q96T88-2,Chromatin
O60934,Chromatin
O14647,Chromatin
O15446-2,Chromatin
O60315,Chromatin
O95251,Chromatin
P49959-3,Chromatin
Q7LBC6,Chromatin
Q86WJ1,Chromatin
Q86YP4-3,Chromatin
Q96KQ7-2,Chromatin
Q96L91,Chromatin
Q9BPX3,Chromatin
Q9UBU8,Chromatin
P51531-2,Chromatin
Q9HB58-6,Chromatin
P25490,Chromatin
Q92618,Chromatin
Q14814-4,Chromatin
P26583,Chromatin
Q15910-2,Chromatin
Q15652,Chromatin
Q92785,Chromatin
Q12830,Chromatin
A6NDG6,Cytosol
O14841,Cytosol
O95336,Cytosol
P00492,Cytosol
P07195,Cytosol
P08243,Cytosol
P08397,Cytosol
P16152,Cytosol
P16930,Cytosol
P17812,Cytosol
P19623,Cytosol
P29218-3,Cytosol
P29762,Cytosol
P31153,Cytosol
P34932,Cytosol
P37802,Cytosol
P37837,Cytosol
P40925-3,Cytosol
P48507,Cytosol
P48637,Cytosol
P49588,Cytosol
P50452,Cytosol
P50502,Cytosol
P51570-2,Cytosol
P52209,Cytosol
P52566,Cytosol
P52888,Cytosol
P53602,Cytosol
P61081,Cytosol
P78417,Cytosol
Q01433,Cytosol
Q01581,Cytosol
Q04446,Cytosol
Q04760,Cytosol
Q12882,Cytosol
Q13630,Cytosol
Q15102,Cytosol
Q15181,Cytosol
Q15274,Cytosol
Q16543,Cytosol
Q3KQV9,Cytosol
Q6XQN6,Cytosol
Q96KP4,Cytosol
Q99614,Cytosol
Q9BZX2,Cytosol
Q9HA64,Cytosol
Q9HAB8,Cytosol
Q9NQW7-3,Cytosol
Q9NRX4,Cytosol
Q9NT62,Cytosol
Q9NY33,Cytosol
Q9Y617,Cytosol
O00264,Endoplasmic Reticulum
O00400,Endoplasmic Reticulum
O15120,Endoplasmic Reticulum
O15269,Endoplasmic Reticulum
O15270,Endoplasmic Reticulum
O43292,Endoplasmic Reticulum
O60568,Endoplasmic Reticulum
