Protein Accession,Fusion Probability,Fused,Cluster Number
P02795,0.996,1,1
P04179,0.962,1,2
O14879,0.994,1,2
Q9BYX4,0.896,1,2
P00973,0.998,1,2
P05362,0.998,1,2
P01584,0.95,1,3
P20591,1,1,2
P09913,0.972,1,1
Q96J88-2,0.952,1,1
Q9UII4,1,1,2
P17275,0.01,0,NA
Q8IV20,1,1,2
Q8WXG1,0.998,1,1
P33121,1,1,2
O95786,0.996,1,2
P20592,0.996,1,2
Q96RQ9-2,0.996,1,2
P14780,0.964,1,3
Q5EBM0,1,1,2
P32455,0.954,1,2
P09914,0.998,1,2
P02778,0.622,1,1
Q13501,0.996,1,1
Q9Y6K5,1,1,2
P25942,0.994,1,2
Q9BQE5,0.88,1,2
P32456,1,1,2
Q13325,1,1,2
O15162,0,0,NA
P14598,0.998,1,2
Q13571,0,0,NA
Q96PP9,1,1,2
P29728-2,0.998,1,2
Q92985-4,0.988,1,1
Q16666,0.996,1,2
Q9UN19,0.244,0,NA
P05161,0.992,1,2
P19525,1,1,2
Q96AZ6,0.998,1,2
Q9H930,1,1,1
P13501,1,1,3
Q460N5,0.998,1,1
Q9H0P0,1,1,2
Q9HB58-6,0.998,1,1
Q03169,1,1,2
Q9P2E3,0.958,1,1
Q14699,0.974,1,3
P29966,0.992,1,2
Q8IVG5,1,1,2
P18510-3,0.99,1,2
O95477,0.866,1,4
Q8IY21,1,1,1
P09601,0.876,1,5
P29590,0.722,1,1
P30466,0.974,1,3
P52630,1,1,2
Q15025,0.074,0,NA
Q03518,1,1,2
Q07820,0,0,NA
Q5K651,0.996,1,2
Q8TDB6,0.974,1,1
Q8IXQ6,0.974,1,2
Q9BYK8,1,1,2
P07711,1,1,2
P12931-2,0.99,1,3
Q01628,0.162,0,NA
Q6ZUJ8,1,1,2
O95544,0.996,1,2
Q5H9U9,0.982,1,1
Q92973,0.97,1,6
O14657,0.998,1,2
Q00978,1,1,1
P19838-2,0.994,1,1
Q8IYM9,0.948,1,1
